,a,b,c,d,e,f,g,h
0,0.38797724859044025,0.1281480161326154,0.35517500883444575,0.00830002365852689,0.7451459777073298,0.6858318255310809,0.234236801098061,0.24066949041137298
1,0.7359043013384612,0.10918754639971329,0.5562446891465713,0.3947586230257817,0.23153406120168873,0.7031963632421453,0.058043221238565756,0.04956441242084275
2,0.7803964173775406,0.5150499708244938,0.9470455113394208,0.7355587390915692,0.27269279191027673,0.2252321067666424,0.09423024630891874,0.2974201185316575
3,0.1957205609833801,0.36374295274045676,0.24669423835954096,0.49915701998586604,0.7418854783163858,0.5930534889807713,0.0765496377402145,0.2624844631385378
4,0.2731541558371444,0.11284546096078119,0.2601403617561646,0.11111381765494155,0.5638633027656794,0.34372022193872875,0.2526940112023157,0.3476952686436895
5,0.6244287226669031,0.893018424224139,0.677183745521428,0.6103705151966728,0.8002883421595358,0.5410659452113775,0.12092845000008179,0.7750922915042489
6,0.978095915018615,0.8255493718937377,0.2849127107749173,0.8380661100581209,0.8277374732896081,0.507793537088248,0.3586844307955127,0.92215532209505
7,0.23171053239587458,0.5197719725792052,0.9876132821480685,0.21544041821562,0.5705223082541725,0.4696084130168455,0.8330492998718593,0.39919054520829433
8,0.8365804552623665,0.5653603764181278,0.8695915236195152,0.27525729153530887,0.25775614647176526,0.40029889734780766,0.27808375316783285,0.05748535053501602
9,0.5349872923873706,0.7287052873513712,0.25849560006290895,0.22347926190486722,0.06259585247274457,0.5299831239242231,0.5187413424432783,0.7941209483466241
10,0.257224518568138,0.050417902792695646,0.6107190896362489,0.05827317798506593,0.665214680607932,0.8612116602048646,0.9637306880290437,0.8555673326346945
11,0.6911041009209417,0.6023683315607716,0.34956366201612876,0.17948883769359825,0.8507666253353787,0.7948889749289846,0.41769518533781635,0.6691033985492627
12,0.6884704836565325,0.07632547957713731,0.28731906711533906,0.118990278670286,0.2567960104708724,0.819865548124922,0.5383586214719617,0.854435674916078
13,0.44302268293428015,0.45666357088751486,0.6716517925860155,0.5853201342697948,0.6519036842546925,0.8143928766942835,0.8923210592736187,0.644199707380926
14,0.7930248669742472,0.6888259604517644,0.06958818004265654,0.7025821136667555,0.5170382543097184,0.7061174933903176,0.9883251064384516,0.1420891022828631
15,0.8353249879573974,0.3880735433160448,0.12449213096778289,0.01854937054847694,0.44966714553633347,0.6357110197830675,0.8670078834799204,0.8074492063800255
16,0.0036427440659477783,0.3110623420158396,0.8133063321683012,0.5941206474520138,0.9915467033580369,0.3240089275260738,0.06671571543513843,0.85802085501167
17,0.251192724751519,0.7977111238251791,0.030095111124245566,0.8089217724381883,0.5783984457254263,0.8589565523700893,0.6973500082203674,0.8483245246576974
18,0.5045525519075721,0.6779950254174395,0.5563340702557741,0.7576566635483791,0.9927353225819641,0.9269041719139474,0.2869661551123578,0.5427638649543061
19,0.8576473505863026,0.8564595208102173,0.8859653125617979,0.19592700293665422,0.6843509334498196,0.35367722634892973,0.8301129640545322,0.900707981732424
20,0.04383570754435884,0.43873728413353885,0.8330421010137373,0.3326051072948367,0.6711198792159297,0.5114481163501085,0.043872994890928774,0.015496023651952351
21,0.49639855545637845,0.6682847733766306,0.5534805874114052,0.6511420796729727,0.7927993066595134,0.67910150468557,0.9294170062287461,0.7556628754219955
22,0.5265899786338923,0.6950913996127868,0.43325596127635835,0.9895635886208377,0.11315903795306104,0.7167195367298652,0.6425137407866502,0.5506799819512409
23,0.4786863733194898,0.25465257031497246,0.011046463118879246,0.47840105700521274,0.23981546592194414,0.537862080848213,0.9740447653915846,0.22381955038462908
24,0.15571447374907066,0.4615749992381041,0.21617104646629626,0.5155052888991546,0.04005021940329456,0.9258994973312095,0.8848424724798046,0.792572834229154
25,0.8063334598826334,0.30458937003076114,0.6682697910703922,0.7060858241157504,0.14116874290431325,0.8246459570587045,0.01659715308196874,0.24044973821090943
26,0.5351537912544584,0.6982509339958853,0.5359299229492045,0.7228985133072325,0.3095959742812895,0.04949348816635135,0.058789245256882006,0.7160788678609521
27,0.768297752840794,0.5438313463282892,0.8529332344725672,0.46127787527415454,0.47861942805100177,0.15821539428272635,0.341107172429331,0.5536295305880928
28,0.2698054393941334,0.26491611594847264,0.32946891713011284,0.3099738034820395,0.9958667246281563,0.8883416140123735,0.7565968184956303,0.12134154968774302
29,0.8515504791463682,0.3596571965560057,0.23486582307576875,0.9313303811738,0.718121983426462,0.8194581340786802,0.2209769241128211,0.6863996896516595
30,0.6205679753375258,0.3050619733131986,0.23284152076061881,0.9812883270513731,0.4517013584299753,0.30215344708159964,0.5801610046407094,0.009249399964638805
31,0.7081236267156586,0.8694970836275225,0.8138783678726782,0.22004100438211938,0.8019260349712207,0.6416789412926821,0.7502625264263935,0.0691599416956129
32,0.797128568896517,0.3740574664374242,0.3405423399959163,0.1919156761906714,0.4354711517058939,0.7821088046673217,0.8456264793171321,0.8557540913640621
33,0.2123053208614234,0.34231325187451755,0.35105727520366714,0.1662405444651196,0.9325664927965893,0.6402776012319298,0.7799028534927803,0.4583878330961064
34,0.3742247019496314,0.7357655548277958,0.4634139694829089,0.5324171262252738,0.18778617230268524,0.08118622821479737,0.816333685009175,0.7010909728051182
