,a,b,c,d,e,f,g,h,o
0,0.8297316889254923,0.8897680648899245,0.7396672508302061,0.8195991063243189,0.576622219442432,0.34121141745985883,0.04088717258435548,0.6603203697808182,9.984175831409
1,0.25528019740326846,0.5548830127577647,0.02676856355082724,0.6583132035590318,0.30004035300912046,0.6657006424846692,0.8020717799285276,0.9782610253319438,9.033221619631957
2,0.17471526111914326,0.5196905911109514,0.5161096411715669,0.17808995408103023,0.9640470525545776,0.45170243107969077,0.42191251047913714,0.5027043842729648,7.361581395655721
3,0.7767512667867941,0.8034681832920305,0.44423365329577313,0.7136786865211401,0.8348255791741448,0.23534072543490658,0.3596397941993884,0.3196809962002656,8.816879563547191
4,0.2383624934507792,0.6735837217918406,0.4870396011617669,0.1645026405709139,0.30346969066062124,0.1839129741419856,0.9861104059607637,0.12666842067520612,6.878651543188761
5,0.17153548793386453,0.5742197055237366,0.7612122444068443,0.5992288594255899,0.3746352289685012,0.7669416449903392,0.9260642648638614,0.6698805370001707,10.092547490645234
6,0.4500929249239961,0.6819170199336854,0.3422750455046818,0.8165862704734688,0.24543236941882496,0.20945672536589355,0.6161798079026365,0.7631233664578406,7.40764434684718
7,0.2820814302500486,0.44772191152622165,0.6054321069735321,0.011847189845528683,0.8143335510815434,0.637215797742482,0.06129927461627083,0.11929986375006119,8.300650250448845
8,0.7168077930468522,0.854267030330477,0.5675306815960823,0.06384275673735884,0.3349410357482391,0.07500219330670788,0.21034991562527006,0.9608121633505898,8.593096157977833
9,0.22100327676528664,0.4784225788500621,0.038609319888940674,0.8333434673472734,0.2967344610005751,0.3814278033418632,0.10430093899486281,0.11477479072044239,6.373238017105065
10,0.9051245042227983,0.16329096798534015,0.21582082410462555,0.6225237864483073,0.7724305912089299,0.062084564109817886,0.8347701153036143,0.4585568352335365,3.1208285235534214
11,0.6114254470787178,0.16477963094942982,0.603210434718221,0.13064625184779655,0.9798631305214461,0.36735115369431215,0.6612495230942198,0.7135570497267819,4.164827417715044
12,0.8102486577467551,0.058351464581590684,0.03884495500492191,0.5653804593378436,0.34814574289800204,0.08569707009421634,0.8886328712407336,0.8505557210830159,1.99808730658133
13,0.0906250914161445,0.7783217736554959,0.29055841641564917,0.829088743879927,0.5880710409733396,0.7780244420678896,0.9018702267741052,0.8201713616077334,10.51323022106472
14,0.4190415260969267,0.328926591746699,0.31562029359284227,0.4592387266696141,0.2769534140620331,0.7180318598850015,0.03516839830297691,0.18051932126678083,8.072319853805208
15,0.30853084925652896,0.24231638348274087,0.1790906895776424,0.984479739202958,0.8836886186093814,0.5359412423549421,0.7997670548483939,0.2838034096802098,5.820499562706111
16,0.3728863134341698,0.7726074779473766,0.20784427985652854,0.9141933101230854,0.04894328399785386,0.4344113003111397,0.08950365170778019,0.07863613369105105,9.320725174932532
17,0.9229920033829015,0.5071692289863229,0.22643413451235905,0.7222779637342895,0.5116326810204213,0.7251932419675637,0.9713428699690719,0.2789251427974123,9.958715381461948
18,0.5651353016484126,0.2565326702184897,0.6662014099901742,0.5498252387990792,0.8301955992553278,0.07992031044430292,0.1997931683151546,0.2502023670451986,3.5998004378863766
19,0.0032284820259603775,0.653131622023983,0.2407039132236094,0.9551252539574098,0.17769492556407618,0.016302065818607936,0.31757712243800984,0.6412031805980892,6.50957681043993
20,0.9480488992358445,0.5297184607969964,0.5094559971747723,0.07221140132652115,0.33033137740569396,0.46496492250708266,0.3446325228335788,0.5869932875176709,8.306267894562392
21,0.6237356733314959,0.4944128153908748,0.9558047723460386,0.32874965009951496,0.5354430498304106,0.7830327042308778,0.8817631674153749,0.9123525623498365,10.633723108770113
22,0.20779886556721516,0.6561420201279099,0.9245781413116814,0.44595670650932917,0.3513688388235706,0.8632803301605421,0.6988262288172864,0.5381292853912827,11.062474010783035
23,0.3655629774127238,0.5982131024182402,0.794121936252148,0.020062687164656756,0.93044232064001,0.7648339449005687,0.5816255710545359,0.8043863161920446,10.105771382004956
24,0.5157550933781286,0.28926670293958245,0.47394387949767647,0.9656992176963151,0.8728668714093358,0.015512322913176058,0.1359841831021088,0.564658011320288,3.6684796557474506
25,0.7505970277412757,0.6427598768866674,0.9308793399763168,0.3391437567885358,0.08866109722927862,0.6649578458241885,0.2420446719368119,0.16741982109902176,10.420442040745217
26,0.3177343673092369,0.7926973999209777,0.943709589462556,0.0036415472984050457,0.0814221119132793,0.8278024361343361,0.6182914080304817,0.966057417375184,10.918194560256481
27,0.8948656498902525,0.10889543036031224,0.4703653495975403,0.917949584664455,0.6870754093020169,0.9229601148768541,0.45859587174904237,0.5783219021789294,10.173893029870815
28,0.20706506876296316,0.28664298278769973,0.4032057347550826,0.214368367336079,0.9668807813239738,0.983000245690608,0.2946106013942793,0.07172581788176202,10.162907989828927
29,0.6722701280476422,0.3493364158999819,0.5393488804929972,0.40281690741693155,0.03245276534361996,0.10267967955730528,0.5128230492772101,0.25359120123154033,4.817776270859391
30,0.8999101051493263,0.3781575707800602,0.16539267115913814,0.7235206964361779,0.29250216610627955,0.4349097904594915,0.022649919997998258,0.15192875177822718,6.852339625376189
31,0.9756327495741174,0.5653975632095725,0.7425744842306161,0.7591547706526973,0.06966847814053467,0.8356312287650767,0.1452675643994018,0.7333317143417964,10.862401964338543
32,0.6648618429544031,0.28502586420643883,0.15771201427454717,0.18020838875950784,0.7928280971693246,0.2118912066756966,0.3186779111735608,0.8974426414000111,3.9651682678797853
33,0.7473146292828355,0.39694943880375233,0.8114346948306983,0.5313428378998932,0.8987881623460365,0.7831313928541902,0.365828218403932,0.12211534686444703,10.472104265707376
34,0.2551497683591879,0.8544548387062105,0.34194593951295027,0.6192087210717132,0.42612812407711775,0.6332706714948372,0.8694992961115392,0.9453723726510418,9.883688918331925
35,0.9434333650785891,0.247499548424162,0.4800503297732901,0.2093880219983122,0.7246463284949058,0.5135675825710165,0.877812773320881,0.18351140949608735,5.8398897657977145
36,0.6943485325649577,0.010325292413666198,0.8281281837465267,0.8226122405530552,0.005177339470686548,0.6221552672433637,0.9826992949806839,0.22022334531784715,5.316503935102722
37,0.5523181835183676,0.19709067402823066,0.037619359318721735,0.5540047655333654,0.24396522064042003,0.8527328268617871,0.99956533961838,0.22257843046892056,9.057176007279631
38,0.03382395537949012,0.10053835045640913,0.9798655774104602,0.4795012505629056,0.35782282249951336,0.4540835458336909,0.14752468473496527,0.9565555871092045,3.5827748868497666
39,0.03931721618505857,0.7674433913330635,0.5044739949562463,0.1632552781275698,0.39680253833681123,0.7719655282704272,0.4439908192168336,0.38909566481356794,10.400759389217429
40,0.11470379101385497,0.6966917190710499,0.5032280216352577,0.07947221205161104,0.5385963032735429,0.8143615112869238,0.3120964754348955,0.9312398892986601,10.451227926977753
41,0.12948970415478045,0.6671356278894247,0.4475332367312428,0.9569747637988536,0.3357394843236846,0.3692000306739479,0.5932949153218865,0.8233259222691758,7.9460065627709495
42,0.3897463029154823,0.8364828178720459,0.13925759453937503,0.9290031717218821,0.3252211872356876,0.6916187554564596,0.21488275695229153,0.7534705310721567,10.712464464333875
43,0.31938789727082584,0.09477469446186948,0.9128863886427834,0.233640403484476,0.8225351953117871,0.7727849216697928,0.6058363644008455,0.13318437476912204,7.024110227344293
44,0.796905200193767,0.5476909494120759,0.4392579646132234,0.028447146841406257,0.28845048889726044,0.6561308104141571,0.42644694172629016,0.04333440922004317,9.113397974185638
45,0.3948957541149293,0.07927293120120782,0.29537602573293,0.6727815900614093,0.5495084395756956,0.10740338958077822,0.8245529942800768,0.6378030928144558,1.58902226663191
46,0.18999898303318774,0.33282813093011776,0.38372935219345694,0.0815839128127428,0.13100681665322178,0.19579516910793704,0.7475755875782768,0.3376289891328652,3.899857866296494
47,0.9101960523424562,0.6324575445880704,0.9882697095580198,0.6333730144838072,0.30647930278837465,0.7095282402103434,0.6122033239559794,0.45827470523161684,10.989590338717726
48,0.6699366801640168,0.47963137691449365,0.2642874963829327,0.10319420743080032,0.5396265845685952,0.42845282347780356,0.23524137292555858,0.7556757720863855,6.904107144526245
49,0.655942167060982,0.7890526440673294,0.22305249680910655,0.9164686380784994,0.7280521080357798,0.07845130746108875,0.01728251196366748,0.816041542333908,7.9081034499146625
50,0.8528417695774159,0.3137721984534647,0.40663334521552286,0.6036710821499914,0.976961746554112,0.6034776268021832,0.2885018692160439,0.26944142067482924,8.021402030490439
51,0.5535227304485966,0.22647225019973116,0.044444779955812974,0.3637924801866328,0.569334549849367,0.025457457438222586,0.8956864592649797,0.6105255702919637,3.1292206457299505
52,0.16482475841104072,0.7704118695092097,0.4368317018188689,0.2880959007278616,0.42661302591367656,0.07655663108230226,0.30508626539487815,0.3588320962810405,7.21349026726023
53,0.3886517941431413,0.5632397426240887,0.07356823394721523,0.12194572571401452,0.3290549591916656,0.0010296160718464842,0.9819168070962522,0.1293558792805164,5.752941077182943
54,0.7520535875729183,0.10546800705325188,0.13881198434498676,0.4972103195203841,0.013732404920192232,0.4917013956999302,0.26491526322854486,0.2432376972030218,4.485774064057098
55,0.7308220968564079,0.7256627589427952,0.6602084389365831,0.3246710530775371,0.3339384084463083,0.09610021531551194,0.5998298805671172,0.4372544182563053,8.374703667242516
56,0.4108841875533006,0.1583622445927605,0.2806976863539019,0.9382315091247931,0.750711650890212,0.7985951928608174,0.493262442866789,0.3008995324909879,7.67851677179561
57,0.3390747278967383,0.1496094815091441,0.09474188510899739,0.051840726059295794,0.5716817789902353,0.04588675510237583,0.33237965908542777,0.9693383326065355,1.9043844450665828
58,0.08788110853040243,0.3810851135140857,0.28245551655089274,0.7881082629404594,0.8421016492754166,0.706447333548446,0.4944821612160082,0.5020800735689217,8.662130673367415
59,0.8502532528167532,0.20231038192178707,0.9552312310584162,0.12055252395746796,0.8677129602747489,0.11055892887921825,0.16464040742477137,0.07220226782850692,3.463814833447499
60,0.00900896762115544,0.10284912034205773,0.9072794111687458,0.7631759924469406,0.151125212085645,0.5814295895271906,0.5739734702864835,0.6204793858244884,5.7611477821610535
61,0.8075107574362339,0.3310676580744909,0.6432909218833361,0.46956492766770075,0.6893180833823077,0.3888196711079033,0.4208097002461205,0.9150081390051095,6.2389378646162035
62,0.6647210803868612,0.024801316647711014,0.5150251890931821,0.040555353537771066,0.3610624687762406,0.6099058326706848,0.506260931236331,0.2865320760173682,4.809811651099245
